N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1.0,삼성전자,58700.0,100.0,-0.17%,100.0,58200.0,58800.0,58200.0
2.0,LG에너지솔루션,458000.0,7500.0,-1.61%,500.0,462500.0,466000.0,455000.0
3.0,SK하이닉스,93400.0,200.0,+0.21%,5000.0,92600.0,93500.0,92100.0
4.0,삼성바이오로직스,830000.0,6000.0,-0.72%,2500.0,828000.0,833000.0,825000.0
5.0,삼성전자우,54300.0,400.0,-0.73%,100.0,54000.0,54300.0,54000.0
6.0,LG화학,608000.0,3000.0,-0.49%,5000.0,603000.0,609000.0,603000.0
7.0,현대차,194500.0,1000.0,-0.51%,5000.0,195000.0,197500.0,194500.0
8.0,삼성SDI,579000.0,1000.0,+0.17%,5000.0,570000.0,583000.0,570000.0
9.0,NAVER,235500.0,2500.0,-1.05%,100.0,234500.0,236000.0,232500.0
10.0,기아,79900.0,200.0,-0.25%,5000.0,79400.0,80400.0,79300.0
11.0,카카오,72100.0,1100.0,-1.50%,100.0,72300.0,72500.0,71800.0
12.0,셀트리온,189000.0,500.0,+0.27%,1000.0,185500.0,190000.0,185500.0
13.0,삼성물산,118000.0,1500.0,-1.26%,100.0,118500.0,119000.0,117500.0
14.0,POSCO홀딩스,252500.0,1500.0,-0.59%,5000.0,251500.0,253000.0,249000.0
15.0,KB금융,49250.0,350.0,-0.71%,5000.0,48900.0,49400.0,48750.0
16.0,현대모비스,212000.0,1500.0,-0.70%,5000.0,210000.0,213000.0,209500.0
17.0,신한지주,35500.0,350.0,-0.98%,5000.0,35400.0,35750.0,35200.0
18.0,SK,234000.0,6500.0,+2.86%,200.0,233500.0,234500.0,230000.0
19.0,SK이노베이션,186500.0,10000.0,-5.09%,5000.0,194000.0,194500.0,186500.0
20.0,LG전자,96900.0,600.0,-0.62%,5000.0,96700.0,97500.0,96200.0
21.0,한국전력,20550.0,200.0,-0.96%,5000.0,20700.0,20700.0,20550.0
22.0,카카오뱅크,27200.0,100.0,-0.37%,5000.0,27100.0,27300.0,26950.0
23.0,두산에너빌리티,20250.0,1450.0,-6.68%,5000.0,20100.0,20550.0,20050.0
24.0,포스코케미칼,164500.0,3500.0,-2.08%,500.0,167000.0,169500.0,162500.0
25.0,LG,80900.0,600.0,-0.74%,5000.0,80600.0,81100.0,79800.0
26.0,삼성생명,61500.0,100.0,+0.16%,500.0,60800.0,61500.0,60500.0
27.0,고려아연,649000.0,30000.0,+4.85%,5000.0,637000.0,657000.0,629000.0
28.0,현대중공업,136500.0,4500.0,-3.19%,5000.0,141000.0,141000.0,136000.0
29.0,크래프톤,238500.0,500.0,-0.21%,100.0,236500.0,243000.0,236500.0
30.0,SK텔레콤,52100.0,100.0,+0.19%,100.0,51700.0,52300.0,51600.0
31.0,KT&G,82800.0,200.0,-0.24%,5000.0,82800.0,83000.0,82300.0
32.0,하나금융지주,38200.0,600.0,-1.55%,5000.0,38250.0,38450.0,38050.0
33.0,S-Oil,100000.0,5000.0,-4.76%,2500.0,102000.0,102000.0,98300.0
34.0,LG생활건강,712000.0,2000.0,+0.28%,5000.0,710000.0,715000.0,710000.0
35.0,HMM,21950.0,150.0,+0.69%,5000.0,21600.0,22050.0,21550.0
36.0,삼성전기,134000.0,1000.0,-0.74%,5000.0,133500.0,134500.0,132500.0
37.0,삼성에스디에스,127500.0,1000.0,-0.78%,500.0,127000.0,128500.0,126500.0
38.0,KT,37550.0,350.0,-0.92%,5000.0,37800.0,37800.0,37500.0
39.0,한화솔루션,51100.0,1100.0,-2.11%,5000.0,52000.0,53100.0,50600.0
40.0,대한항공,26300.0,200.0,+0.77%,5000.0,25950.0,26500.0,25850.0
41.0,삼성화재,193000.0,1000.0,-0.52%,500.0,192500.0,194000.0,190500.0
42.0,우리금융지주,11950.0,100.0,-0.83%,5000.0,12000.0,12050.0,11950.0
43.0,SK바이오사이언스,109500.0,4000.0,-3.52%,500.0,111000.0,112000.0,109000.0
44.0,카카오페이,62200.0,200.0,-0.32%,500.0,62400.0,62500.0,61100.0
45.0,엔씨소프트,372000.0,0.0,0.00%,500.0,368000.0,374000.0,366000.0
46.0,LG이노텍,336000.0,500.0,+0.15%,5000.0,331500.0,339000.0,329500.0
47.0,아모레퍼시픽,122000.0,1500.0,-1.21%,500.0,122500.0,123000.0,121000.0
48.0,기업은행,9560.0,50.0,-0.52%,5000.0,9600.0,9610.0,9530.0
49.0,하이브,168500.0,1500.0,-0.88%,500.0,168000.0,170000.0,167000.0
50.0,한국조선해양,94400.0,2500.0,-2.58%,5000.0,96700.0,96900.0,94000.0
51.0,현대글로비스,173500.0,500.0,-0.29%,500.0,173000.0,174000.0,172500.0
52.0,CJ제일제당,409500.0,1500.0,+0.37%,5000.0,406000.0,412500.0,403500.0
53.0,롯데케미칼,173000.0,1000.0,-0.57%,5000.0,173000.0,173500.0,171000.0
54.0,SK아이이테크놀로지,80100.0,400.0,-0.50%,1000.0,79100.0,80300.0,79100.0
55.0,한국항공우주,58500.0,800.0,-1.35%,5000.0,59400.0,60000.0,57900.0
56.0,강원랜드,26550.0,150.0,-0.56%,500.0,26450.0,26750.0,26450.0
57.0,KODEX 200,31810.0,175.0,-0.55%,0.0,31690.0,31830.0,31640.0
58.0,SK바이오팜,71200.0,700.0,-0.97%,500.0,71300.0,71600.0,70600.0
59.0,SK스퀘어,39350.0,400.0,-1.01%,100.0,39400.0,39600.0,39150.0
60.0,LG디스플레이,15550.0,100.0,+0.65%,5000.0,15250.0,15650.0,15250.0
61.0,한온시스템,10350.0,50.0,-0.48%,100.0,10300.0,10450.0,10300.0
62.0,넷마블,63100.0,300.0,-0.47%,100.0,62900.0,63500.0,62100.0
63.0,F&F,138500.0,1500.0,-1.07%,100.0,138000.0,139500.0,136500.0
64.0,현대건설,46950.0,700.0,-1.47%,5000.0,47350.0,47550.0,46700.0
65.0,맥쿼리인프라,12700.0,50.0,-0.39%,0.0,12700.0,12700.0,12650.0
66.0,LG유플러스,11750.0,0.0,0.00%,5000.0,11750.0,11800.0,11650.0
